id,created_at,location,node,anchor,crc_identification
998,2022-05-21 13:37:50.684253+00,"{""x"":234,""y"":99,""z"":0}",1,,
997,2022-05-21 13:37:30.14344+00,"{""x"":206,""y"":132,""z"":0}",1,,
996,2022-05-21 13:37:09.775877+00,"{""x"":208,""y"":162,""z"":0}",1,,
995,2022-05-21 13:36:49.352962+00,"{""x"":203,""y"":169,""z"":0}",1,,
994,2022-05-21 13:36:29.087164+00,"{""x"":181,""y"":196,""z"":0}",1,,
993,2022-05-21 13:36:08.770669+00,"{""x"":193,""y"":167,""z"":0}",1,,
992,2022-05-21 13:35:48.354932+00,"{""x"":192,""y"":154,""z"":0}",1,,
991,2022-05-21 13:35:28.144731+00,"{""x"":183,""y"":126,""z"":0}",1,,
990,2022-05-21 13:35:07.659924+00,"{""x"":191,""y"":119,""z"":0}",1,,
989,2022-05-21 13:34:47.093006+00,"{""x"":212,""y"":104,""z"":0}",1,,
987,2022-05-21 13:34:06.459135+00,"{""x"":195,""y"":78,""z"":0}",1,,
986,2022-05-21 13:33:45.709715+00,"{""x"":178,""y"":57,""z"":0}",1,,
985,2022-05-21 13:33:25.417621+00,"{""x"":125,""y"":107,""z"":0}",1,,
984,2022-05-21 13:33:04.870374+00,"{""x"":118,""y"":93,""z"":0}",1,,
983,2022-05-21 13:32:44.589383+00,"{""x"":137,""y"":108,""z"":0}",1,,
982,2022-05-21 13:32:24.410864+00,"{""x"":151,""y"":100,""z"":0}",1,,
980,2022-05-21 13:31:43.451189+00,"{""x"":131,""y"":149,""z"":0}",1,,
979,2022-05-21 13:31:23.003711+00,"{""x"":100,""y"":184,""z"":0}",1,,
977,2022-05-21 13:30:42.120286+00,"{""x"":120,""y"":180,""z"":0}",1,,
976,2022-05-21 13:30:21.72734+00,"{""x"":128,""y"":195,""z"":0}",1,,
975,2022-05-21 13:30:01.304675+00,"{""x"":147,""y"":182,""z"":0}",1,,
974,2022-05-21 13:29:40.941464+00,"{""x"":166,""y"":184,""z"":0}",1,,
973,2022-05-21 13:29:20.561381+00,"{""x"":206,""y"":166,""z"":0}",1,,
972,2022-05-21 13:29:00.287553+00,"{""x"":202,""y"":158,""z"":0}",1,,
971,2022-05-21 13:28:39.960541+00,"{""x"":231,""y"":153,""z"":0}",1,,